ImageName,Count
2 25 C5 32,16.0
2 25 C5 33,13.0
2 25 C5 34,13.0
2 25 C5 35,29.0
2 25 C5 36,36.0
2 25 C5 37,11.0
2 25 C5 38,23.0
2 25 C5 39,14.0
2 25 C5 40,33.0
2 25 C5 41,18.0
2 25 C5 42,11.0
2 25 C5 43,17.0
2 25 C5 44,27.0
2 25 C5 45,17.0
2 25 C5 46,7.0
2 25 C5 47,6.0
2 25 C5 48,20.0
2 25 C5 49,37.0
2 25 C5 50,0.0
2 25 C5 51,23.0
2 25 C5 52,15.0
2 25 C5 53,12.0
2 25 C5 54,7.0
2 25 C5 55,6.0
2 25 C5 56,21.0
2 25 C5 57,26.0
2 25 C5 58,8.0
2 25 C5 59,15.0
2 25 C5 60,14.0
2 21 D1 1,12.0
2 21 D1 2,21.0
2 21 D1 3,11.0
2 21 D1 4,15.0
2 21 D1 5,7.0
2 21 D1 6,20.0
2 21 D1 7,8.0
2 21 D1 8,29.0
2 21 D1 9,11.0
2 21 D1 10,45.0
2 21 D1 11,30.0
2 21 D1 12,10.0
2 21 D1 13,19.0
2 21 D1 14,29.0
2 21 D1 15,20.0
2 21 D1 16,14.0
2 21 D1 17,21.0
2 21 D1 18,15.0
2 21 D1 19,36.0
2 21 D1 20,12.0
2 21 D1 21,30.0
2 21 D1 22,26.0
2 21 D1 23,22.0
2 21 D1 24,30.0
2 21 D1 25,24.0
2 21 D1 26,29.0
2 21 D1 27,20.0
2 21 D1 28,19.0
2 21 D1 29,44.0
2 21 D1 30,19.0
2 21 D1 31,18.0
2 21 D1 32,29.0
2 21 D1 33,29.0
2 21 D1 34,32.0
2 21 D1 35,17.0
2 21 D1 36,3.0
2 21 D1 37,14.0
2 21 D1 38,31.0
2 21 D1 39,22.0
2 21 D1 40,24.0
2 21 D1 41,29.0
2 21 D1 42,7.0
2 21 D1 43,32.0
2 21 D1 44,11.0
2 21 D1 45,17.0
2 21 D1 46,17.0
2 21 D1 47,35.0
2 21 D1 48,14.0
2 21 D1 49,15.0
2 21 D1 50,13.0
2 21 D1 51,44.0
2 21 D1 52,35.0
2 21 D1 53,27.0
2 21 D1 54,9.0
2 21 D1 55,18.0
2 21 D1 56,24.0
2 21 D1 57,30.0
2 21 D1 58,32.0
2 21 D1 59,13.0
2 21 D1 60,15.0
2 22 D2 1,26.0
2 22 D2 2,11.0
2 22 D2 3,9.0
2 22 D2 4,17.0
2 22 D2 5,10.0
2 22 D2 6,10.0
2 22 D2 7,12.0
2 22 D2 8,7.0
2 22 D2 9,8.0
2 22 D2 10,8.0
2 22 D2 11,15.0
2 22 D2 12,19.0
2 22 D2 13,35.0
2 22 D2 14,7.0
2 22 D2 15,12.0
2 22 D2 16,10.0
2 22 D2 17,17.0
2 22 D2 18,21.0
2 22 D2 19,15.0
2 22 D2 20,15.0
2 22 D2 21,14.0
2 22 D2 22,7.0
2 22 D2 23,14.0
2 22 D2 24,30.0
2 22 D2 25,12.0
2 22 D2 26,13.0
2 22 D2 27,2.0
2 22 D2 28,13.0
2 22 D2 29,11.0
2 22 D2 30,17.0
2 22 D2 31,33.0
2 22 D2 32,21.0
2 22 D2 33,17.0
2 22 D2 34,20.0
2 22 D2 35,14.0
2 22 D2 36,29.0
2 22 D2 37,14.0
2 22 D2 38,20.0
2 22 D2 39,22.0
2 22 D2 40,15.0
2 22 D2 41,17.0
2 22 D2 42,10.0
2 22 D2 43,20.0
2 22 D2 44,22.0
2 22 D2 45,7.0
2 22 D2 46,21.0
2 22 D2 47,6.0
2 22 D2 48,18.0
2 22 D2 49,22.0
2 22 D2 50,3.0
2 22 D2 51,17.0
2 22 D2 52,17.0
2 22 D2 53,7.0
2 22 D2 54,24.0
2 22 D2 55,11.0
2 22 D2 56,11.0
2 22 D2 57,19.0
2 22 D2 58,11.0
2 22 D2 59,13.0
2 22 D2 60,23.0
2 23 D3 1,7.0
2 23 D3 2,64.0
2 23 D3 3,13.0
2 23 D3 4,10.0
2 23 D3 5,10.0
2 23 D3 6,14.0
2 23 D3 7,21.0
2 23 D3 8,20.0
2 23 D3 9,13.0
2 23 D3 10,8.0
2 23 D3 11,19.0
2 23 D3 12,8.0
2 23 D3 13,11.0
2 23 D3 14,14.0
2 23 D3 15,10.0
2 23 D3 16,14.0
2 23 D3 17,13.0
2 23 D3 18,6.0
2 23 D3 19,7.0
2 23 D3 20,9.0
2 23 D3 21,16.0
2 23 D3 22,17.0
2 23 D3 23,13.0
2 23 D3 24,16.0
2 23 D3 25,18.0
2 23 D3 26,12.0
2 23 D3 27,16.0
2 23 D3 28,11.0
2 23 D3 29,13.0
2 23 D3 30,14.0
2 23 D3 31,50.0
2 23 D3 32,11.0
2 23 D3 33,19.0
2 23 D3 34,3.0
2 23 D3 35,31.0
2 23 D3 36,16.0
2 23 D3 37,8.0
2 23 D3 38,15.0
2 23 D3 39,10.0
2 23 D3 40,7.0
2 23 D3 41,6.0
2 23 D3 42,21.0
2 23 D3 43,2.0
2 23 D3 44,17.0
2 23 D3 45,51.0
2 23 D3 46,7.0
2 23 D3 47,9.0
2 23 D3 48,27.0
2 23 D3 49,17.0
2 23 D3 50,7.0
2 23 D3 51,15.0
2 23 D3 52,21.0
2 23 D3 53,33.0
2 23 D3 54,14.0
2 23 D3 55,6.0
2 23 D3 56,8.0
2 23 D3 57,16.0
2 23 D3 58,43.0
2 23 D3 59,9.0
2 23 D3 60,14.0
2 24 D4 1,11.0
2 24 D4 2,16.0
2 24 D4 3,14.0
2 24 D4 4,7.0
2 24 D4 5,8.0
2 24 D4 6,30.0
2 24 D4 7,17.0
2 24 D4 8,9.0
2 24 D4 9,10.0
2 24 D4 10,15.0
2 24 D4 11,14.0
2 24 D4 12,13.0
2 24 D4 13,28.0
2 24 D4 14,50.0
2 24 D4 15,16.0
2 24 D4 16,8.0
2 24 D4 17,42.0
2 24 D4 18,18.0
2 24 D4 19,18.0
2 24 D4 20,8.0
2 24 D4 21,73.0
2 24 D4 22,10.0
2 24 D4 23,17.0
2 24 D4 24,12.0
2 24 D4 25,10.0
2 24 D4 26,7.0
2 24 D4 27,11.0
2 24 D4 28,33.0
2 24 D4 29,11.0
2 24 D4 30,17.0
2 24 D4 31,8.0
2 24 D4 32,24.0
2 24 D4 33,27.0
2 24 D4 34,8.0
2 24 D4 35,8.0
2 24 D4 36,16.0
2 24 D4 37,9.0
2 24 D4 38,7.0
2 24 D4 39,2.0
2 24 D4 40,28.0
2 24 D4 41,33.0
2 24 D4 42,18.0
2 24 D4 43,8.0
2 24 D4 44,24.0
2 24 D4 45,15.0
2 24 D4 46,16.0
2 24 D4 47,12.0
2 24 D4 48,66.0
2 24 D4 49,11.0
2 24 D4 50,10.0
2 24 D4 51,13.0
2 24 D4 52,21.0
2 24 D4 53,9.0
2 24 D4 54,23.0
2 24 D4 55,13.0
2 24 D4 56,24.0
2 24 D4 57,10.0
2 24 D4 58,9.0
2 24 D4 59,23.0
2 24 D4 60,15.0
2 25 D5 1,23.0
2 25 D5 2,18.0
2 25 D5 3,43.0
2 25 D5 4,47.0
2 25 D5 5,5.0
2 25 D5 6,25.0
2 25 D5 7,12.0
2 25 D5 8,19.0
2 25 D5 9,22.0
2 25 D5 10,22.0
2 25 D5 11,10.0
2 25 D5 12,18.0
2 25 D5 13,9.0
2 25 D5 14,23.0
2 25 D5 15,9.0
2 25 D5 16,12.0
2 25 D5 17,26.0
2 25 D5 18,29.0
2 25 D5 19,27.0
2 25 D5 20,10.0
2 25 D5 21,12.0
2 25 D5 22,17.0
2 25 D5 23,20.0
2 25 D5 24,21.0
2 25 D5 25,23.0
2 25 D5 26,5.0
2 25 D5 27,25.0
2 25 D5 28,24.0
2 25 D5 29,18.0
2 25 D5 30,19.0
2 25 D5 31,40.0
2 25 D5 32,16.0
2 25 D5 33,0.0
2 25 D5 34,9.0
2 25 D5 35,5.0
2 25 D5 36,2.0
2 25 D5 37,23.0
2 25 D5 38,14.0
2 25 D5 39,42.0
2 25 D5 40,3.0
2 25 D5 41,15.0
2 25 D5 42,11.0
2 25 D5 43,25.0
2 25 D5 44,34.0
2 25 D5 45,10.0
2 25 D5 46,10.0
2 25 D5 47,9.0
2 25 D5 48,41.0
2 25 D5 49,17.0
2 25 D5 50,22.0
2 25 D5 51,10.0
2 25 D5 52,10.0
2 25 D5 53,6.0
2 25 D5 54,26.0
2 25 D5 55,14.0
2 25 D5 56,10.0
2 25 D5 57,15.0
2 25 D5 58,14.0
2 25 D5 59,18.0
2 25 D5 60,24.0
2 22 C1 1,22.0
2 22 C1 2,29.0
2 22 C1 3,57.0
2 22 C1 4,48.0
2 22 C1 5,46.0
2 22 C1 6,40.0
2 22 C1 7,45.0
2 22 C1 8,34.0
2 22 C1 9,41.0
2 22 C1 10,46.0
2 22 C1 11,61.0
2 22 C1 12,29.0
2 22 C1 13,46.0
2 22 C1 14,52.0
2 22 C1 15,33.0
2 22 C1 16,42.0
2 22 C1 17,45.0
2 22 C1 18,31.0
2 22 C1 19,29.0
2 22 C1 20,24.0
2 22 C1 21,38.0
2 22 C1 22,57.0
2 22 C1 23,28.0
2 22 C1 24,51.0
2 22 C1 25,24.0
2 22 C1 26,33.0
2 22 C1 27,35.0
2 22 C1 28,44.0
2 22 C1 29,29.0
2 22 C1 30,47.0
2 22 C1 31,49.0
2 22 C1 32,30.0
2 22 C1 33,23.0
2 22 C1 34,60.0
2 22 C1 35,37.0
2 22 C1 36,49.0
2 22 C1 37,34.0
2 22 C1 38,43.0
2 22 C1 39,36.0
2 22 C1 40,45.0
2 22 C1 41,60.0
2 22 C1 42,38.0
2 22 C1 43,42.0
2 22 C1 44,63.0
2 22 C1 45,40.0
2 22 C1 46,49.0
2 22 C1 47,25.0
2 22 C1 48,54.0
2 22 C1 49,51.0
2 22 C1 50,37.0
2 22 C1 51,28.0
2 22 C1 52,53.0
2 22 C1 53,39.0
2 22 C1 54,27.0
2 22 C1 55,30.0
2 22 C1 56,44.0
2 22 C1 57,81.0
2 22 C1 58,5.0
2 22 C1 59,53.0
2 22 C1 60,30.0
2 23 C2 1,34.0
2 23 C2 2,48.0
2 23 C2 3,72.0
2 23 C2 4,52.0
2 23 C2 5,40.0
2 23 C2 6,34.0
2 23 C2 7,59.0
2 23 C2 8,42.0
2 23 C2 9,42.0
2 23 C2 10,37.0
2 23 C2 11,86.0
2 23 C2 12,70.0
2 23 C2 13,84.0
2 23 C2 14,54.0
2 23 C2 15,60.0
2 23 C2 16,38.0
2 23 C2 17,74.0
2 23 C2 18,48.0
2 23 C2 19,58.0
2 23 C2 20,35.0
2 23 C2 21,59.0
2 23 C2 22,71.0
2 23 C2 23,55.0
2 23 C2 24,67.0
2 23 C2 25,61.0
2 23 C2 26,37.0
2 23 C2 27,53.0
2 23 C2 28,60.0
2 23 C2 29,39.0
2 23 C2 30,53.0
2 23 C2 31,57.0
2 23 C2 32,62.0
2 23 C2 33,56.0
2 23 C2 34,55.0
2 23 C2 35,35.0
2 23 C2 36,56.0
2 23 C2 37,65.0
2 23 C2 38,54.0
2 23 C2 39,34.0
2 23 C2 40,56.0
2 23 C2 41,57.0
2 23 C2 42,45.0
2 23 C2 43,65.0
2 23 C2 44,50.0
2 23 C2 45,51.0
2 23 C2 46,54.0
2 23 C2 47,51.0
2 23 C2 48,58.0
2 23 C2 49,40.0
2 23 C2 50,30.0
2 23 C2 51,47.0
2 23 C2 52,51.0
2 23 C2 53,45.0
2 23 C2 54,49.0
2 23 C2 55,59.0
2 23 C2 56,49.0
2 23 C2 57,67.0
2 23 C2 58,43.0
2 23 C2 59,27.0
2 23 C2 60,50.0
2 24 C3 1,61.0
2 24 C3 2,19.0
2 24 C3 3,59.0
2 24 C3 4,39.0
2 24 C3 5,68.0
2 24 C3 6,44.0
2 24 C3 7,57.0
2 24 C3 8,59.0
2 24 C3 9,41.0
2 24 C3 10,42.0
2 24 C3 11,43.0
2 24 C3 12,4.0
2 24 C3 13,75.0
2 24 C3 14,39.0
2 24 C3 15,34.0
2 24 C3 16,46.0
2 24 C3 17,31.0
2 24 C3 18,56.0
2 24 C3 19,56.0
2 24 C3 20,48.0
2 24 C3 21,43.0
2 24 C3 22,52.0
2 24 C3 23,35.0
2 24 C3 24,69.0
2 24 C3 25,54.0
2 24 C3 26,28.0
2 24 C3 27,28.0
2 24 C3 28,0.0
2 24 C3 29,54.0
2 24 C3 30,42.0
2 24 C3 31,56.0
2 24 C3 32,28.0
2 24 C3 33,42.0
2 24 C3 34,57.0
2 24 C3 35,29.0
2 24 C3 36,57.0
2 24 C3 37,50.0
2 24 C3 38,43.0
2 24 C3 39,33.0
2 24 C3 40,55.0
2 24 C3 41,52.0
2 24 C3 42,36.0
2 24 C3 43,32.0
2 24 C3 44,44.0
2 24 C3 45,48.0
2 24 C3 46,47.0
2 24 C3 47,13.0
2 24 C3 48,30.0
2 24 C3 49,41.0
2 24 C3 50,55.0
2 24 C3 51,60.0
2 24 C3 52,53.0
2 24 C3 53,41.0
2 24 C3 54,33.0
2 24 C3 55,45.0
2 24 C3 56,12.0
2 24 C3 57,34.0
2 24 C3 58,46.0
2 24 C3 59,23.0
2 24 C3 60,25.0
2 25 C4 1,41.0
2 25 C4 2,38.0
2 25 C4 3,69.0
2 25 C4 4,36.0
2 25 C4 5,34.0
2 25 C4 6,67.0
2 25 C4 7,72.0
2 25 C4 8,69.0
2 25 C4 9,33.0
2 25 C4 10,64.0
2 25 C4 11,38.0
2 25 C4 12,61.0
2 25 C4 13,77.0
2 25 C4 14,47.0
2 25 C4 15,72.0
2 25 C4 16,78.0
2 25 C4 17,50.0
2 25 C4 18,85.0
2 25 C4 19,54.0
2 25 C4 20,59.0
2 25 C4 21,54.0
2 25 C4 22,56.0
2 25 C4 23,70.0
2 25 C4 24,40.0
2 25 C4 25,59.0
2 25 C4 26,0.0
2 25 C4 27,47.0
2 25 C4 28,55.0
2 25 C4 29,68.0
2 25 C4 30,74.0
2 25 C4 31,55.0
2 25 C4 32,57.0
2 25 C4 33,62.0
2 25 C4 34,69.0
2 25 C4 35,67.0
2 25 C4 36,60.0
2 25 C4 37,58.0
2 25 C4 38,65.0
2 25 C4 39,24.0
2 25 C4 40,40.0
2 25 C4 41,70.0
2 25 C4 42,66.0
2 25 C4 43,61.0
2 25 C4 44,66.0
2 25 C4 45,39.0
2 25 C4 46,59.0
2 25 C4 47,67.0
2 25 C4 48,33.0
2 25 C4 49,54.0
2 25 C4 50,43.0
2 25 C4 51,39.0
2 25 C4 52,32.0
2 25 C4 53,44.0
2 25 C4 54,52.0
2 25 C4 55,71.0
2 25 C4 56,37.0
2 25 C4 57,35.0
2 25 C4 58,52.0
2 25 C4 59,50.0
2 25 C4 60,44.0
2 26 C5 1,84.0
2 26 C5 2,0.0
2 26 C5 3,50.0
2 26 C5 4,47.0
2 26 C5 5,65.0
2 26 C5 6,14.0
2 26 C5 7,66.0
2 26 C5 8,39.0
2 26 C5 9,51.0
2 26 C5 10,49.0
2 26 C5 11,29.0
2 26 C5 12,8.0
2 26 C5 13,55.0
2 26 C5 14,56.0
2 26 C5 15,3.0
2 26 C5 16,37.0
2 26 C5 17,24.0
2 26 C5 18,63.0
2 26 C5 19,49.0
2 26 C5 20,48.0
2 26 C5 21,51.0
2 26 C5 22,52.0
2 26 C5 23,56.0
2 26 C5 24,62.0
2 26 C5 25,28.0
2 26 C5 26,22.0
2 26 C5 27,49.0
2 26 C5 28,68.0
2 26 C5 29,33.0
2 26 C5 30,43.0
2 26 C5 31,52.0
2 26 C5 32,45.0
2 26 C5 33,58.0
2 26 C5 34,43.0
2 26 C5 35,39.0
2 26 C5 36,42.0
2 26 C5 37,27.0
2 26 C5 38,29.0
2 26 C5 39,43.0
2 26 C5 40,42.0
2 26 C5 41,26.0
2 26 C5 42,32.0
2 26 C5 43,53.0
2 26 C5 44,40.0
2 26 C5 45,62.0
2 26 C5 46,27.0
2 26 C5 47,2.0
2 26 C5 48,39.0
2 26 C5 49,55.0
2 26 C5 50,0.0
2 26 C5 51,52.0
2 26 C5 52,30.0
2 26 C5 53,34.0
2 26 C5 54,33.0
2 26 C5 55,32.0
2 26 C5 56,38.0
2 26 C5 57,55.0
2 26 C5 58,53.0
2 26 C5 59,32.0
2 26 C5 60,51.0
2 22 D1 1,23.0
2 22 D1 2,61.0
2 22 D1 3,35.0
2 22 D1 4,66.0
2 22 D1 5,40.0
2 22 D1 6,60.0
2 22 D1 7,45.0
2 22 D1 8,48.0
2 22 D1 9,45.0
2 22 D1 10,50.0
2 22 D1 11,59.0
2 22 D1 12,39.0
2 22 D1 13,71.0
2 22 D1 14,48.0
2 22 D1 15,48.0
2 22 D1 16,65.0
2 22 D1 17,30.0
2 22 D1 18,42.0
2 22 D1 19,67.0
2 22 D1 20,56.0
2 22 D1 21,56.0
2 22 D1 22,45.0
2 22 D1 23,50.0
2 22 D1 24,35.0
2 22 D1 25,44.0
2 22 D1 26,40.0
2 22 D1 27,47.0
2 22 D1 28,53.0
2 22 D1 29,60.0
2 22 D1 30,33.0
2 22 D1 31,70.0
2 22 D1 32,66.0
2 22 D1 33,51.0
2 22 D1 34,55.0
2 22 D1 35,44.0
2 22 D1 36,3.0
2 22 D1 37,39.0
2 22 D1 38,78.0
2 22 D1 39,59.0
2 22 D1 40,63.0
2 22 D1 41,31.0
2 22 D1 42,25.0
2 22 D1 43,50.0
2 22 D1 44,33.0
2 22 D1 45,26.0
2 22 D1 46,49.0
2 22 D1 47,94.0
2 22 D1 48,48.0
2 22 D1 49,65.0
2 22 D1 50,45.0
2 22 D1 51,57.0
2 22 D1 52,60.0
2 22 D1 53,42.0
2 22 D1 54,65.0
2 22 D1 55,41.0
2 22 D1 56,62.0
2 22 D1 57,58.0
2 22 D1 58,69.0
2 22 D1 59,51.0
2 22 D1 60,32.0
2 23 D2 1,61.0
2 23 D2 2,67.0
2 23 D2 3,32.0
2 23 D2 4,70.0
2 23 D2 5,34.0
2 23 D2 6,45.0
2 23 D2 7,49.0
2 23 D2 8,49.0
2 23 D2 9,26.0
2 23 D2 10,46.0
2 23 D2 11,40.0
2 23 D2 12,81.0
2 23 D2 13,66.0
2 23 D2 14,54.0
2 23 D2 15,44.0
2 23 D2 16,59.0
2 23 D2 17,43.0
2 23 D2 18,44.0
2 23 D2 19,56.0
2 23 D2 20,54.0
2 23 D2 21,52.0
2 23 D2 22,61.0
2 23 D2 23,54.0
2 23 D2 24,55.0
2 23 D2 25,35.0
2 23 D2 26,24.0
2 23 D2 27,41.0
2 23 D2 28,54.0
2 23 D2 29,70.0
2 23 D2 30,38.0
2 23 D2 31,22.0
2 23 D2 32,68.0
2 23 D2 33,53.0
2 23 D2 34,80.0
2 23 D2 35,60.0
2 23 D2 36,49.0
2 23 D2 37,43.0
2 23 D2 38,41.0
2 23 D2 39,76.0
2 23 D2 40,59.0
2 23 D2 41,72.0
2 23 D2 42,58.0
2 23 D2 43,53.0
2 23 D2 44,37.0
2 23 D2 45,28.0
2 23 D2 46,52.0
2 23 D2 47,70.0
2 23 D2 48,58.0
2 23 D2 49,63.0
2 23 D2 50,58.0
2 23 D2 51,60.0
2 23 D2 52,59.0
2 23 D2 53,55.0
2 23 D2 54,64.0
2 23 D2 55,39.0
2 23 D2 56,47.0
2 23 D2 57,53.0
2 23 D2 58,53.0
2 23 D2 59,52.0
2 23 D2 60,54.0
2 24 D3 1,52.0
2 24 D3 2,51.0
2 24 D3 3,30.0
2 24 D3 4,59.0
2 24 D3 5,34.0
2 24 D3 6,33.0
2 24 D3 7,68.0
2 24 D3 8,56.0
2 24 D3 9,41.0
2 24 D3 10,49.0
2 24 D3 11,52.0
2 24 D3 12,59.0
2 24 D3 13,39.0
2 24 D3 14,53.0
2 24 D3 15,47.0
2 24 D3 16,39.0
2 24 D3 17,52.0
2 24 D3 18,2.0
2 24 D3 19,44.0
2 24 D3 20,51.0
2 24 D3 21,54.0
2 24 D3 22,34.0
2 24 D3 23,49.0
2 24 D3 24,37.0
2 24 D3 25,52.0
2 24 D3 26,67.0
2 24 D3 27,53.0
2 24 D3 28,56.0
2 24 D3 29,41.0
2 24 D3 30,50.0
2 24 D3 31,61.0
2 24 D3 32,52.0
2 24 D3 33,40.0
2 24 D3 34,39.0
2 24 D3 35,60.0
2 24 D3 36,52.0
2 24 D3 37,51.0
2 24 D3 38,39.0
2 24 D3 39,42.0
2 24 D3 40,43.0
2 24 D3 41,32.0
2 24 D3 42,57.0
2 24 D3 43,32.0
2 24 D3 44,43.0
2 24 D3 45,17.0
2 24 D3 46,31.0
2 24 D3 47,36.0
2 24 D3 48,30.0
2 24 D3 49,56.0
2 24 D3 50,30.0
2 24 D3 51,46.0
2 24 D3 52,30.0
2 24 D3 53,58.0
2 24 D3 54,20.0
2 24 D3 55,59.0
