FileName,MarvinFileName,AlexFileName,AlexCount,MarvinCount,Mean,Difference
nCO1 Control 5-4 6 pt66.jpg,eggs3countnCO1 Control 5-4 6 pt66.jpg,eggs3countnCO1 Control 5-4 6 pt66.jpg,3,3,3.0,0
CO1 Lithium 5-4 21 pt53.jpg,eggs2countCO1 Lithium 5-4 21 pt53.jpg,eggs2countCO1 Lithium 5-4 21 pt53.jpg,2,2,2.0,0
nCO1 Lithium 5-4 36 pt86.jpg,eggs1countnCO1 Lithium 5-4 36 pt86.jpg,eggs1countnCO1 Lithium 5-4 36 pt86.jpg,1,1,1.0,0
CO1 Control 5-4 21 pt14.jpg,eggs4countCO1 Control 5-4 21 pt14.jpg,eggs4countCO1 Control 5-4 21 pt14.jpg,4,4,4.0,0
nCO1 Lithium 5-4 44 pt77.jpg,eggs1countnCO1 Lithium 5-4 44 pt77.jpg,eggs1countnCO1 Lithium 5-4 44 pt77.jpg,1,1,1.0,0
CO1 Control 5-4 13 pt68.jpg,eggs5countCO1 Control 5-4 13 pt68.jpg,eggs5countCO1 Control 5-4 13 pt68.jpg,5,5,5.0,0
nCO1 Lithium 5-4 10 pt73.jpg,eggs1countnCO1 Lithium 5-4 10 pt73.jpg,eggs1countnCO1 Lithium 5-4 10 pt73.jpg,1,1,1.0,0
AO1 Control 5-4 45 pt60.jpg,eggs1countAO1 Control 5-4 45 pt60.jpg,eggs1countAO1 Control 5-4 45 pt60.jpg,1,1,1.0,0
nCO1 Control 5-4 11 pt45.jpg,eggs3countnCO1 Control 5-4 11 pt45.jpg,eggs3countnCO1 Control 5-4 11 pt45.jpg,3,3,3.0,0
AO1 Control 5-4 12 pt53.jpg,eggs1countAO1 Control 5-4 12 pt53.jpg,eggs1countAO1 Control 5-4 12 pt53.jpg,1,1,1.0,0
nCO1 Lithium 5-4 20 pt68.jpg,eggs2countnCO1 Lithium 5-4 20 pt68.jpg,eggs2countnCO1 Lithium 5-4 20 pt68.jpg,2,2,2.0,0
ACO1 Control 5-4 25 pt32.jpg,eggs1countACO1 Control 5-4 25 pt32.jpg,eggs0countACO1 Control 5-4 25 pt32.jpg,0,1,0.5,1
nCO1 Lithium 5-4 26 pt55.jpg,eggs2countnCO1 Lithium 5-4 26 pt55.jpg,eggs2countnCO1 Lithium 5-4 26 pt55.jpg,2,2,2.0,0
nCO1 Control 5-4 27 pt85.jpg,eggs3countnCO1 Control 5-4 27 pt85.jpg,eggs0countnCO1 Control 5-4 27 pt85.jpg,0,3,1.5,3
AO1 Control 5-4 8 pt68.jpg,eggs1countAO1 Control 5-4 8 pt68.jpg,eggs1countAO1 Control 5-4 8 pt68.jpg,1,1,1.0,0
CO1 Lithium 5-4 37 pt6.jpg,eggs2countCO1 Lithium 5-4 37 pt6.jpg,eggs2countCO1 Lithium 5-4 37 pt6.jpg,2,2,2.0,0
AO1 Lithium 5-4 31 pt58.jpg,eggs1countAO1 Lithium 5-4 31 pt58.jpg,eggs1countAO1 Lithium 5-4 31 pt58.jpg,1,1,1.0,0
nCO1 Control 5-4 2 pt53.jpg,eggs7countnCO1 Control 5-4 2 pt53.jpg,eggs3countnCO1 Control 5-4 2 pt53.jpg,3,7,5.0,4
CO1 Lithium 5-4 32 pt46.jpg,eggs2countCO1 Lithium 5-4 32 pt46.jpg,eggs2countCO1 Lithium 5-4 32 pt46.jpg,2,2,2.0,0
CO1 Lithium 5-4 36 pt33.jpg,eggs1countCO1 Lithium 5-4 36 pt33.jpg,eggs1countCO1 Lithium 5-4 36 pt33.jpg,1,1,1.0,0
AO1 Lithium 5-4 16 pt76.jpg,eggs2countAO1 Lithium 5-4 16 pt76.jpg,eggs2countAO1 Lithium 5-4 16 pt76.jpg,2,2,2.0,0
CO1 Lithium 5-4 1 pt38.jpg,eggs2countCO1 Lithium 5-4 1 pt38.jpg,eggs2countCO1 Lithium 5-4 1 pt38.jpg,2,2,2.0,0
CO1 Control 5-4 42 pt27.jpg,eggs2countCO1 Control 5-4 42 pt27.jpg,eggs2countCO1 Control 5-4 42 pt27.jpg,2,2,2.0,0
nCO1 Lithium 5-4 26 pt64.jpg,eggs3countnCO1 Lithium 5-4 26 pt64.jpg,eggs2countnCO1 Lithium 5-4 26 pt64.jpg,2,3,2.5,1
ACO1 Lithium 5-4 27 pt43.jpg,eggs1countACO1 Lithium 5-4 27 pt43.jpg,eggs0countACO1 Lithium 5-4 27 pt43.jpg,0,1,0.5,1
CO1 Control 5-4 41 pt8.jpg,eggs2countCO1 Control 5-4 41 pt8.jpg,eggs0countCO1 Control 5-4 41 pt8.jpg,0,2,1.0,2
CO1 Control 5-4 26 pt77.jpg,eggs3countCO1 Control 5-4 26 pt77.jpg,eggs2countCO1 Control 5-4 26 pt77.jpg,2,3,2.5,1
ACO1 Control 5-4 32 pt36.jpg,eggs1countACO1 Control 5-4 32 pt36.jpg,eggs1countACO1 Control 5-4 32 pt36.jpg,1,1,1.0,0
CO1 Control 5-4 10 pt24.jpg,eggs4countCO1 Control 5-4 10 pt24.jpg,eggs3countCO1 Control 5-4 10 pt24.jpg,3,4,3.5,1
nCO1 Control 5-4 38 pt87.jpg,eggs2countnCO1 Control 5-4 38 pt87.jpg,eggs0countnCO1 Control 5-4 38 pt87.jpg,0,2,1.0,2
ACO1 Control 5-4 36 pt57.jpg,eggs1countACO1 Control 5-4 36 pt57.jpg,eggs1countACO1 Control 5-4 36 pt57.jpg,1,1,1.0,0
ACO1 Control 5-4 26 pt18.jpg,eggs1countACO1 Control 5-4 26 pt18.jpg,eggs1countACO1 Control 5-4 26 pt18.jpg,1,1,1.0,0
CO1 Control 5-4 6 pt18.jpg,eggs1countCO1 Control 5-4 6 pt18.jpg,eggs1countCO1 Control 5-4 6 pt18.jpg,1,1,1.0,0
nCO1 Lithium 5-4 11 pt6.jpg,eggs1countnCO1 Lithium 5-4 11 pt6.jpg,eggs1countnCO1 Lithium 5-4 11 pt6.jpg,1,1,1.0,0
AO1 Lithium 5-4 49 pt32.jpg,eggs1countAO1 Lithium 5-4 49 pt32.jpg,eggs1countAO1 Lithium 5-4 49 pt32.jpg,1,1,1.0,0
CO1 Lithium 5-4 11 pt40.jpg,eggs1countCO1 Lithium 5-4 11 pt40.jpg,eggs0countCO1 Lithium 5-4 11 pt40.jpg,0,1,0.5,1
ACO1 Lithium 5-4 42 pt6.jpg,eggs1countACO1 Lithium 5-4 42 pt6.jpg,eggs1countACO1 Lithium 5-4 42 pt6.jpg,1,1,1.0,0
CO1 Control 5-4 21 pt18.jpg,eggs1countCO1 Control 5-4 21 pt18.jpg,eggs1countCO1 Control 5-4 21 pt18.jpg,1,1,1.0,0
nCO1 Lithium 5-4 14 pt17.jpg,eggs2countnCO1 Lithium 5-4 14 pt17.jpg,eggs2countnCO1 Lithium 5-4 14 pt17.jpg,2,2,2.0,0
CO1 Lithium 5-4 13 pt65.jpg,eggs1countCO1 Lithium 5-4 13 pt65.jpg,eggs1countCO1 Lithium 5-4 13 pt65.jpg,1,1,1.0,0
nCO1 Lithium 5-4 18 pt38.jpg,eggs1countnCO1 Lithium 5-4 18 pt38.jpg,eggs1countnCO1 Lithium 5-4 18 pt38.jpg,1,1,1.0,0
CO1 Lithium 5-4 44 pt34.jpg,eggs5countCO1 Lithium 5-4 44 pt34.jpg,eggs6countCO1 Lithium 5-4 44 pt34.jpg,6,5,5.5,-1
AO1 Control 5-4 40 pt88.jpg,eggs1countAO1 Control 5-4 40 pt88.jpg,eggs1countAO1 Control 5-4 40 pt88.jpg,1,1,1.0,0
AO1 Control 5-4 15 pt32.jpg,eggs1countAO1 Control 5-4 15 pt32.jpg,eggs1countAO1 Control 5-4 15 pt32.jpg,1,1,1.0,0
AO1 Control 5-4 31 pt43.jpg,eggs2countAO1 Control 5-4 31 pt43.jpg,eggs0countAO1 Control 5-4 31 pt43.jpg,0,2,1.0,2
CO1 Control 5-4 31 pt63.jpg,eggs3countCO1 Control 5-4 31 pt63.jpg,eggs3countCO1 Control 5-4 31 pt63.jpg,3,3,3.0,0
nCO1 Lithium 5-4 20 pt52.jpg,eggs1countnCO1 Lithium 5-4 20 pt52.jpg,eggs1countnCO1 Lithium 5-4 20 pt52.jpg,1,1,1.0,0
CO1 Control 5-4 31 pt36.jpg,eggs1countCO1 Control 5-4 31 pt36.jpg,eggs1countCO1 Control 5-4 31 pt36.jpg,1,1,1.0,0
AO1 Control 5-4 34 pt25.jpg,eggs3countAO1 Control 5-4 34 pt25.jpg,eggs3countAO1 Control 5-4 34 pt25.jpg,3,3,3.0,0
ACO1 Control 5-4 2 pt65.jpg,eggs1countACO1 Control 5-4 2 pt65.jpg,eggs0countACO1 Control 5-4 2 pt65.jpg,0,1,0.5,1
ACO1 Lithium 5-4 27 pt48.jpg,eggs1countACO1 Lithium 5-4 27 pt48.jpg,eggs1countACO1 Lithium 5-4 27 pt48.jpg,1,1,1.0,0
CO1 Control 5-4 31 pt59.jpg,eggs6countCO1 Control 5-4 31 pt59.jpg,eggs6countCO1 Control 5-4 31 pt59.jpg,6,6,6.0,0
nCO1 Control 5-4 50 pt26.jpg,eggs1countnCO1 Control 5-4 50 pt26.jpg,eggs0countnCO1 Control 5-4 50 pt26.jpg,0,1,0.5,1
nCO1 Lithium 5-4 38 pt60.jpg,eggs1countnCO1 Lithium 5-4 38 pt60.jpg,eggs0countnCO1 Lithium 5-4 38 pt60.jpg,0,1,0.5,1
CO1 Lithium 5-4 12 pt75.jpg,eggs2countCO1 Lithium 5-4 12 pt75.jpg,eggs2countCO1 Lithium 5-4 12 pt75.jpg,2,2,2.0,0
CO1 Lithium 5-4 3 pt85.jpg,eggs2countCO1 Lithium 5-4 3 pt85.jpg,eggs2countCO1 Lithium 5-4 3 pt85.jpg,2,2,2.0,0
nCO1 Control 5-4 30 pt46.jpg,eggs1countnCO1 Control 5-4 30 pt46.jpg,eggs0countnCO1 Control 5-4 30 pt46.jpg,0,1,0.5,1
CO1 Control 5-4 40 pt54.jpg,eggs2countCO1 Control 5-4 40 pt54.jpg,eggs2countCO1 Control 5-4 40 pt54.jpg,2,2,2.0,0
nCO1 Control 5-4 42 pt66.jpg,eggs1countnCO1 Control 5-4 42 pt66.jpg,eggs1countnCO1 Control 5-4 42 pt66.jpg,1,1,1.0,0
CO1 Lithium 5-4 27 pt73.jpg,eggs3countCO1 Lithium 5-4 27 pt73.jpg,eggs2countCO1 Lithium 5-4 27 pt73.jpg,2,3,2.5,1
ACO1 Lithium 5-4 42 pt33.jpg,eggs4countACO1 Lithium 5-4 42 pt33.jpg,eggs3countACO1 Lithium 5-4 42 pt33.jpg,3,4,3.5,1
nCO1 Control 5-4 42 pt55.jpg,eggs2countnCO1 Control 5-4 42 pt55.jpg,eggs1countnCO1 Control 5-4 42 pt55.jpg,1,2,1.5,1
AO1 Control 5-4 9 pt97.jpg,eggs1countAO1 Control 5-4 9 pt97.jpg,eggs0countAO1 Control 5-4 9 pt97.jpg,0,1,0.5,1
ACO1 Control 5-4 15 pt84.jpg,eggs1countACO1 Control 5-4 15 pt84.jpg,eggs1countACO1 Control 5-4 15 pt84.jpg,1,1,1.0,0
CO1 Lithium 5-4 45 pt96.jpg,eggs2countCO1 Lithium 5-4 45 pt96.jpg,eggs1countCO1 Lithium 5-4 45 pt96.jpg,1,2,1.5,1
CO1 Lithium 5-4 18 pt17.jpg,eggs4countCO1 Lithium 5-4 18 pt17.jpg,eggs2countCO1 Lithium 5-4 18 pt17.jpg,2,4,3.0,2
nCO1 Control 5-4 43 pt60.jpg,eggs1countnCO1 Control 5-4 43 pt60.jpg,eggs1countnCO1 Control 5-4 43 pt60.jpg,1,1,1.0,0
CO1 Control 5-4 31 pt78.jpg,eggs2countCO1 Control 5-4 31 pt78.jpg,eggs2countCO1 Control 5-4 31 pt78.jpg,2,2,2.0,0
ACO1 Control 5-4 48 pt34.jpg,eggs1countACO1 Control 5-4 48 pt34.jpg,eggs1countACO1 Control 5-4 48 pt34.jpg,1,1,1.0,0
AO1 Control 5-4 22 pt17.jpg,eggs3countAO1 Control 5-4 22 pt17.jpg,eggs1countAO1 Control 5-4 22 pt17.jpg,1,3,2.0,2
CO1 Control 5-4 33 pt74.jpg,eggs2countCO1 Control 5-4 33 pt74.jpg,eggs2countCO1 Control 5-4 33 pt74.jpg,2,2,2.0,0
ACO1 Lithium 5-4 48 pt100.jpg,eggs9countACO1 Lithium 5-4 48 pt100.jpg,eggs0countACO1 Lithium 5-4 48 pt100.jpg,0,9,4.5,9
nCO1 Lithium 5-4 29 pt54.jpg,eggs1countnCO1 Lithium 5-4 29 pt54.jpg,eggs1countnCO1 Lithium 5-4 29 pt54.jpg,1,1,1.0,0
CO1 Control 5-4 8 pt34.jpg,eggs1countCO1 Control 5-4 8 pt34.jpg,eggs1countCO1 Control 5-4 8 pt34.jpg,1,1,1.0,0
CO1 Control 5-4 12 pt76.jpg,eggs1countCO1 Control 5-4 12 pt76.jpg,eggs1countCO1 Control 5-4 12 pt76.jpg,1,1,1.0,0
ACO1 Lithium 5-4 21 pt21.jpg,eggs1countACO1 Lithium 5-4 21 pt21.jpg,eggs1countACO1 Lithium 5-4 21 pt21.jpg,1,1,1.0,0
nCO1 Control 5-4 40 pt63.jpg,eggs7countnCO1 Control 5-4 40 pt63.jpg,eggs7countnCO1 Control 5-4 40 pt63.jpg,7,7,7.0,0
AO1 Lithium 5-4 21 pt53.jpg,eggs1countAO1 Lithium 5-4 21 pt53.jpg,eggs0countAO1 Lithium 5-4 21 pt53.jpg,0,1,0.5,1
nCO1 Control 5-4 41 pt36.jpg,eggs1countnCO1 Control 5-4 41 pt36.jpg,eggs1countnCO1 Control 5-4 41 pt36.jpg,1,1,1.0,0
ACO1 Control 5-4 46 pt67.jpg,eggs5countACO1 Control 5-4 46 pt67.jpg,eggs0countACO1 Control 5-4 46 pt67.jpg,0,5,2.5,5
AO1 Control 5-4 5 pt15.jpg,eggs1countAO1 Control 5-4 5 pt15.jpg,eggs1countAO1 Control 5-4 5 pt15.jpg,1,1,1.0,0
CO1 Control 5-4 32 pt18.jpg,eggs1countCO1 Control 5-4 32 pt18.jpg,eggs0countCO1 Control 5-4 32 pt18.jpg,0,1,0.5,1
CO1 Lithium 5-4 37 pt49.jpg,eggs7countCO1 Lithium 5-4 37 pt49.jpg,eggs7countCO1 Lithium 5-4 37 pt49.jpg,7,7,7.0,0
CO1 Control 5-4 30 pt25.jpg,eggs1countCO1 Control 5-4 30 pt25.jpg,eggs1countCO1 Control 5-4 30 pt25.jpg,1,1,1.0,0
CO1 Lithium 5-4 2 pt14.jpg,eggs1countCO1 Lithium 5-4 2 pt14.jpg,eggs1countCO1 Lithium 5-4 2 pt14.jpg,1,1,1.0,0
nCO1 Lithium 5-4 41 pt36.jpg,eggs2countnCO1 Lithium 5-4 41 pt36.jpg,eggs0countnCO1 Lithium 5-4 41 pt36.jpg,0,2,1.0,2
AO1 Lithium 5-4 42 pt95.jpg,eggs1countAO1 Lithium 5-4 42 pt95.jpg,eggs0countAO1 Lithium 5-4 42 pt95.jpg,0,1,0.5,1
CO1 Control 5-4 15 pt42.jpg,eggs1countCO1 Control 5-4 15 pt42.jpg,eggs1countCO1 Control 5-4 15 pt42.jpg,1,1,1.0,0
AO1 Control 5-4 34 pt23.jpg,eggs2countAO1 Control 5-4 34 pt23.jpg,eggs2countAO1 Control 5-4 34 pt23.jpg,2,2,2.0,0
ACO1 Control 5-4 15 pt69.jpg,eggs1countACO1 Control 5-4 15 pt69.jpg,eggs1countACO1 Control 5-4 15 pt69.jpg,1,1,1.0,0
CO1 Lithium 5-4 45 pt54.jpg,eggs2countCO1 Lithium 5-4 45 pt54.jpg,eggs1countCO1 Lithium 5-4 45 pt54.jpg,1,2,1.5,1
nCO1 Control 5-4 29 pt33.jpg,eggs3countnCO1 Control 5-4 29 pt33.jpg,eggs3countnCO1 Control 5-4 29 pt33.jpg,3,3,3.0,0
ACO1 Control 5-4 26 pt44.jpg,eggs1countACO1 Control 5-4 26 pt44.jpg,eggs0countACO1 Control 5-4 26 pt44.jpg,0,1,0.5,1
CO1 Lithium 5-4 31 pt48.jpg,eggs2countCO1 Lithium 5-4 31 pt48.jpg,eggs2countCO1 Lithium 5-4 31 pt48.jpg,2,2,2.0,0
CO1 Lithium 5-4 43 pt69.jpg,eggs1countCO1 Lithium 5-4 43 pt69.jpg,eggs1countCO1 Lithium 5-4 43 pt69.jpg,1,1,1.0,0
AO1 Control 5-4 47 pt38.jpg,eggs2countAO1 Control 5-4 47 pt38.jpg,eggs1countAO1 Control 5-4 47 pt38.jpg,1,2,1.5,1
AO1 Lithium 5-4 45 pt46.jpg,eggs1countAO1 Lithium 5-4 45 pt46.jpg,eggs1countAO1 Lithium 5-4 45 pt46.jpg,1,1,1.0,0
ACO1 Control 5-4 20 pt16.jpg,eggs1countACO1 Control 5-4 20 pt16.jpg,eggs0countACO1 Control 5-4 20 pt16.jpg,0,1,0.5,1
CO1 Lithium 5-4 45 pt34.jpg,eggs1countCO1 Lithium 5-4 45 pt34.jpg,eggs1countCO1 Lithium 5-4 45 pt34.jpg,1,1,1.0,0
CO1 Lithium 5-4 29 pt70.jpg,eggs2countCO1 Lithium 5-4 29 pt70.jpg,eggs2countCO1 Lithium 5-4 29 pt70.jpg,2,2,2.0,0
AO1 Control 5-4 6 pt66.jpg,eggs3countAO1 Control 5-4 6 pt66.jpg,eggs4countAO1 Control 5-4 6 pt66.jpg,4,3,3.5,-1
CO1 Control 5-4 49 pt85.jpg,eggs1countCO1 Control 5-4 49 pt85.jpg,eggs0countCO1 Control 5-4 49 pt85.jpg,0,1,0.5,1
ACO1 Control 5-4 32 pt76.jpg,eggs1countACO1 Control 5-4 32 pt76.jpg,eggs1countACO1 Control 5-4 32 pt76.jpg,1,1,1.0,0
CO1 Lithium 5-4 8 pt86.jpg,eggs1countCO1 Lithium 5-4 8 pt86.jpg,eggs1countCO1 Lithium 5-4 8 pt86.jpg,1,1,1.0,0
CO1 Lithium 5-4 1 pt47.jpg,eggs1countCO1 Lithium 5-4 1 pt47.jpg,eggs1countCO1 Lithium 5-4 1 pt47.jpg,1,1,1.0,0
AO1 Lithium 5-4 38 pt73.jpg,eggs1countAO1 Lithium 5-4 38 pt73.jpg,eggs1countAO1 Lithium 5-4 38 pt73.jpg,1,1,1.0,0
CO1 Lithium 5-4 28 pt46.jpg,eggs2countCO1 Lithium 5-4 28 pt46.jpg,eggs1countCO1 Lithium 5-4 28 pt46.jpg,1,2,1.5,1
nCO1 Lithium 5-4 11 pt74.jpg,eggs5countnCO1 Lithium 5-4 11 pt74.jpg,eggs5countnCO1 Lithium 5-4 11 pt74.jpg,5,5,5.0,0
nCO1 Lithium 5-4 13 pt26.jpg,eggs2countnCO1 Lithium 5-4 13 pt26.jpg,eggs1countnCO1 Lithium 5-4 13 pt26.jpg,1,2,1.5,1
nCO1 Lithium 5-4 19 pt65.jpg,eggs2countnCO1 Lithium 5-4 19 pt65.jpg,eggs2countnCO1 Lithium 5-4 19 pt65.jpg,2,2,2.0,0
AO1 Control 5-4 7 pt6.jpg,eggs2countAO1 Control 5-4 7 pt6.jpg,eggs0countAO1 Control 5-4 7 pt6.jpg,0,2,1.0,2
CO1 Lithium 5-4 1 pt16.jpg,eggs2countCO1 Lithium 5-4 1 pt16.jpg,eggs1countCO1 Lithium 5-4 1 pt16.jpg,1,2,1.5,1
CO1 Control 5-4 26 pt6.jpg,eggs5countCO1 Control 5-4 26 pt6.jpg,eggs4countCO1 Control 5-4 26 pt6.jpg,4,5,4.5,1
ACO1 Control 5-4 34 pt52.jpg,eggs1countACO1 Control 5-4 34 pt52.jpg,eggs1countACO1 Control 5-4 34 pt52.jpg,1,1,1.0,0
nCO1 Control 5-4 13 pt43.jpg,eggs2countnCO1 Control 5-4 13 pt43.jpg,eggs2countnCO1 Control 5-4 13 pt43.jpg,2,2,2.0,0
CO1 Lithium 5-4 3 pt67.jpg,eggs1countCO1 Lithium 5-4 3 pt67.jpg,eggs1countCO1 Lithium 5-4 3 pt67.jpg,1,1,1.0,0
