RootImage,FileName,PrimaryFileName,SecondaryFileName,PrimaryCount,SecondaryCount,BotCount,Mean,PrimaryDiff,SecondaryDiff,BotDiff
NCO1 Lithium 5-1 25,NCO1 Lithium 5-1 25 pt56.jpg,eggs1countNCO1 Lithium 5-1 25 pt56.jpg,eggs1countNCO1 Lithium 5-1 25 pt56.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 29,AO1 Control 5-1 29 pt74.jpg,eggs3countAO1 Control 5-1 29 pt74.jpg,eggs3countAO1 Control 5-1 29 pt74.jpg,3,3,3,3.0,0.0,0.0,0.0
NCO1 Lithium 5-1 15,NCO1 Lithium 5-1 15 pt62.jpg,eggs3countNCO1 Lithium 5-1 15 pt62.jpg,eggs3countNCO1 Lithium 5-1 15 pt62.jpg,3,3,3,3.0,0.0,0.0,0.0
ACO1 Lithium 5-1 38,ACO1 Lithium 5-1 38 pt43.jpg,eggs1countACO1 Lithium 5-1 38 pt43.jpg,eggs1countACO1 Lithium 5-1 38 pt43.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 16,ACO1 Control 5-1 16 pt74.jpg,eggs1countACO1 Control 5-1 16 pt74.jpg,eggs1countACO1 Control 5-1 16 pt74.jpg,1,1,2,1.0,0.0,0.0,1.0
CO1 Lithium 5-1 16,CO1 Lithium 5-1 16 pt42.jpg,eggs2countCO1 Lithium 5-1 16 pt42.jpg,eggs1countCO1 Lithium 5-1 16 pt42.jpg,2,1,2,1.5,0.5,0.5,0.5
NCO1 Control 5-1 39,NCO1 Control 5-1 39 pt55.jpg,eggs3countNCO1 Control 5-1 39 pt55.jpg,eggs3countNCO1 Control 5-1 39 pt55.jpg,3,3,2,3.0,0.0,0.0,1.0
ACO1 Lithium 5-1 8,ACO1 Lithium 5-1 8 pt66.jpg,eggs1countACO1 Lithium 5-1 8 pt66.jpg,eggs1countACO1 Lithium 5-1 8 pt66.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 7,AO1 Lithium 5-1 7 pt60.jpg,eggs1countAO1 Lithium 5-1 7 pt60.jpg,eggs1countAO1 Lithium 5-1 7 pt60.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 46,AO1 Control 5-1 46 pt41.jpg,eggs1countAO1 Control 5-1 46 pt41.jpg,eggs1countAO1 Control 5-1 46 pt41.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 16,ACO1 Control 5-1 16 pt3.jpg,eggs4countACO1 Control 5-1 16 pt3.jpg,eggs3countACO1 Control 5-1 16 pt3.jpg,4,3,3,3.5,0.5,0.5,0.5
AO1 Lithium 5-1 2,AO1 Lithium 5-1 2 pt59.jpg,eggs1countAO1 Lithium 5-1 2 pt59.jpg,eggs1countAO1 Lithium 5-1 2 pt59.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 15,AO1 Lithium 5-1 15 pt44.jpg,eggs1countAO1 Lithium 5-1 15 pt44.jpg,eggs1countAO1 Lithium 5-1 15 pt44.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 14,AO1 Control 5-1 14 pt13.jpg,eggs3countAO1 Control 5-1 14 pt13.jpg,eggs2countAO1 Control 5-1 14 pt13.jpg,3,2,2,2.5,0.5,0.5,0.5
CO1 Lithium 5-1 40,CO1 Lithium 5-1 40 pt85.jpg,eggs1countCO1 Lithium 5-1 40 pt85.jpg,eggs1countCO1 Lithium 5-1 40 pt85.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 48,AO1 Control 5-1 48 pt62.jpg,eggs1countAO1 Control 5-1 48 pt62.jpg,eggs1countAO1 Control 5-1 48 pt62.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 44,NCO1 Control 5-1 44 pt62.jpg,eggs8countNCO1 Control 5-1 44 pt62.jpg,eggs8countNCO1 Control 5-1 44 pt62.jpg,8,8,7,8.0,0.0,0.0,1.0
CO1 Lithium 5-1 12,CO1 Lithium 5-1 12 pt42.jpg,eggs2countCO1 Lithium 5-1 12 pt42.jpg,eggs2countCO1 Lithium 5-1 12 pt42.jpg,2,2,2,2.0,0.0,0.0,0.0
ACO1 Control 5-1 21,ACO1 Control 5-1 21 pt74.jpg,eggs1countACO1 Control 5-1 21 pt74.jpg,eggs1countACO1 Control 5-1 21 pt74.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 39,AO1 Lithium 5-1 39 pt45.jpg,eggs2countAO1 Lithium 5-1 39 pt45.jpg,eggs2countAO1 Lithium 5-1 39 pt45.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 32,CO1 Lithium 5-1 32 pt49.jpg,eggs1countCO1 Lithium 5-1 32 pt49.jpg,eggs1countCO1 Lithium 5-1 32 pt49.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 50,NCO1 Lithium 5-1 50 pt72.jpg,eggs1countNCO1 Lithium 5-1 50 pt72.jpg,eggs1countNCO1 Lithium 5-1 50 pt72.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 13,NCO1 Lithium 5-1 13 pt24.jpg,eggs1countNCO1 Lithium 5-1 13 pt24.jpg,eggs1countNCO1 Lithium 5-1 13 pt24.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 3,CO1 Lithium 5-1 3 pt69.jpg,eggs2countCO1 Lithium 5-1 3 pt69.jpg,eggs2countCO1 Lithium 5-1 3 pt69.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 32,NCO1 Lithium 5-1 32 pt33.jpg,eggs2countNCO1 Lithium 5-1 32 pt33.jpg,eggs2countNCO1 Lithium 5-1 32 pt33.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 33,CO1 Lithium 5-1 33 pt67.jpg,eggs3countCO1 Lithium 5-1 33 pt67.jpg,eggs2countCO1 Lithium 5-1 33 pt67.jpg,3,2,2,2.5,0.5,0.5,0.5
ACO1 Lithium 5-1 46,ACO1 Lithium 5-1 46 pt35.jpg,eggs2countACO1 Lithium 5-1 46 pt35.jpg,eggs2countACO1 Lithium 5-1 46 pt35.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Control 5-1 16,CO1 Control 5-1 16 pt63.jpg,eggs4countCO1 Control 5-1 16 pt63.jpg,eggs4countCO1 Control 5-1 16 pt63.jpg,4,4,4,4.0,0.0,0.0,0.0
CO1 Lithium 5-1 35,CO1 Lithium 5-1 35 pt28.jpg,eggs1countCO1 Lithium 5-1 35 pt28.jpg,eggs1countCO1 Lithium 5-1 35 pt28.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 29,NCO1 Lithium 5-1 29 pt63.jpg,eggs1countNCO1 Lithium 5-1 29 pt63.jpg,eggs1countNCO1 Lithium 5-1 29 pt63.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 20,NCO1 Lithium 5-1 20 pt48.jpg,eggs5countNCO1 Lithium 5-1 20 pt48.jpg,eggs3countNCO1 Lithium 5-1 20 pt48.jpg,5,3,4,4.0,1.0,1.0,0.0
AO1 Lithium 5-1 17,AO1 Lithium 5-1 17 pt48.jpg,eggs2countAO1 Lithium 5-1 17 pt48.jpg,eggs2countAO1 Lithium 5-1 17 pt48.jpg,2,2,2,2.0,0.0,0.0,0.0
AO1 Control 5-1 2,AO1 Control 5-1 2 pt33.jpg,eggs1countAO1 Control 5-1 2 pt33.jpg,eggs1countAO1 Control 5-1 2 pt33.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 50,AO1 Lithium 5-1 50 pt76.jpg,eggs3countAO1 Lithium 5-1 50 pt76.jpg,eggs3countAO1 Lithium 5-1 50 pt76.jpg,3,3,3,3.0,0.0,0.0,0.0
NCO1 Lithium 5-1 18,NCO1 Lithium 5-1 18 pt15.jpg,eggs2countNCO1 Lithium 5-1 18 pt15.jpg,eggs1countNCO1 Lithium 5-1 18 pt15.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Control 5-1 40,CO1 Control 5-1 40 pt75.jpg,eggs1countCO1 Control 5-1 40 pt75.jpg,eggs1countCO1 Control 5-1 40 pt75.jpg,1,1,2,1.0,0.0,0.0,1.0
AO1 Lithium 5-1 1,AO1 Lithium 5-1 1 pt59.jpg,eggs1countAO1 Lithium 5-1 1 pt59.jpg,eggs1countAO1 Lithium 5-1 1 pt59.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 12,NCO1 Control 5-1 12 pt66.jpg,eggs3countNCO1 Control 5-1 12 pt66.jpg,eggs1countNCO1 Control 5-1 12 pt66.jpg,3,1,0,2.0,1.0,1.0,2.0
CO1 Lithium 5-1 36,CO1 Lithium 5-1 36 pt15.jpg,eggs3countCO1 Lithium 5-1 36 pt15.jpg,eggs2countCO1 Lithium 5-1 36 pt15.jpg,3,2,3,2.5,0.5,0.5,0.5
CO1 Control 5-1 4,CO1 Control 5-1 4 pt42.jpg,eggs1countCO1 Control 5-1 4 pt42.jpg,eggs1countCO1 Control 5-1 4 pt42.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 14,NCO1 Control 5-1 14 pt26.jpg,eggs1countNCO1 Control 5-1 14 pt26.jpg,eggs1countNCO1 Control 5-1 14 pt26.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 8,CO1 Lithium 5-1 8 pt37.jpg,eggs2countCO1 Lithium 5-1 8 pt37.jpg,eggs2countCO1 Lithium 5-1 8 pt37.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 29,CO1 Lithium 5-1 29 pt87.jpg,eggs2countCO1 Lithium 5-1 29 pt87.jpg,eggs2countCO1 Lithium 5-1 29 pt87.jpg,2,2,3,2.0,0.0,0.0,1.0
NCO1 Lithium 5-1 17,NCO1 Lithium 5-1 17 pt38.jpg,eggs6countNCO1 Lithium 5-1 17 pt38.jpg,eggs4countNCO1 Lithium 5-1 17 pt38.jpg,6,4,5,5.0,1.0,1.0,0.0
NCO1 Lithium 5-1 1,NCO1 Lithium 5-1 1 pt66.jpg,eggs4countNCO1 Lithium 5-1 1 pt66.jpg,eggs3countNCO1 Lithium 5-1 1 pt66.jpg,4,3,3,3.5,0.5,0.5,0.5
CO1 Control 5-1 16,CO1 Control 5-1 16 pt24.jpg,eggs1countCO1 Control 5-1 16 pt24.jpg,eggs1countCO1 Control 5-1 16 pt24.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 2,CO1 Lithium 5-1 2 pt54.jpg,eggs1countCO1 Lithium 5-1 2 pt54.jpg,eggs1countCO1 Lithium 5-1 2 pt54.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 2,NCO1 Control 5-1 2 pt76.jpg,eggs2countNCO1 Control 5-1 2 pt76.jpg,eggs2countNCO1 Control 5-1 2 pt76.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 16,NCO1 Lithium 5-1 16 pt49.jpg,eggs1countNCO1 Lithium 5-1 16 pt49.jpg,eggs1countNCO1 Lithium 5-1 16 pt49.jpg,1,1,2,1.0,0.0,0.0,1.0
CO1 Lithium 5-1 35,CO1 Lithium 5-1 35 pt73.jpg,eggs4countCO1 Lithium 5-1 35 pt73.jpg,eggs3countCO1 Lithium 5-1 35 pt73.jpg,4,3,4,3.5,0.5,0.5,0.5
CO1 Control 5-1 44,CO1 Control 5-1 44 pt83.jpg,eggs5countCO1 Control 5-1 44 pt83.jpg,eggs5countCO1 Control 5-1 44 pt83.jpg,5,5,5,5.0,0.0,0.0,0.0
ACO1 Control 5-1 26,ACO1 Control 5-1 26 pt47.jpg,eggs2countACO1 Control 5-1 26 pt47.jpg,eggs2countACO1 Control 5-1 26 pt47.jpg,2,2,3,2.0,0.0,0.0,1.0
NCO1 Lithium 5-1 23,NCO1 Lithium 5-1 23 pt31.jpg,eggs7countNCO1 Lithium 5-1 23 pt31.jpg,eggs5countNCO1 Lithium 5-1 23 pt31.jpg,7,5,10,6.0,1.0,1.0,4.0
NCO1 Lithium 5-1 19,NCO1 Lithium 5-1 19 pt55.jpg,eggs3countNCO1 Lithium 5-1 19 pt55.jpg,eggs3countNCO1 Lithium 5-1 19 pt55.jpg,3,3,4,3.0,0.0,0.0,1.0
CO1 Control 5-1 8,CO1 Control 5-1 8 pt32.jpg,eggs2countCO1 Control 5-1 8 pt32.jpg,eggs2countCO1 Control 5-1 8 pt32.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 42,NCO1 Lithium 5-1 42 pt63.jpg,eggs3countNCO1 Lithium 5-1 42 pt63.jpg,eggs2countNCO1 Lithium 5-1 42 pt63.jpg,3,2,2,2.5,0.5,0.5,0.5
CO1 Lithium 5-1 7,CO1 Lithium 5-1 7 pt23.jpg,eggs5countCO1 Lithium 5-1 7 pt23.jpg,eggs4countCO1 Lithium 5-1 7 pt23.jpg,5,4,5,4.5,0.5,0.5,0.5
NCO1 Lithium 5-1 11,NCO1 Lithium 5-1 11 pt76.jpg,eggs2countNCO1 Lithium 5-1 11 pt76.jpg,eggs2countNCO1 Lithium 5-1 11 pt76.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Control 5-1 38,NCO1 Control 5-1 38 pt23.jpg,eggs3countNCO1 Control 5-1 38 pt23.jpg,eggs3countNCO1 Control 5-1 38 pt23.jpg,3,3,4,3.0,0.0,0.0,1.0
NCO1 Control 5-1 9,NCO1 Control 5-1 9 pt28.jpg,eggs6countNCO1 Control 5-1 9 pt28.jpg,eggs5countNCO1 Control 5-1 9 pt28.jpg,6,5,3,5.5,0.5,0.5,2.5
CO1 Lithium 5-1 20,CO1 Lithium 5-1 20 pt43.jpg,eggs1countCO1 Lithium 5-1 20 pt43.jpg,eggs1countCO1 Lithium 5-1 20 pt43.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 5,NCO1 Lithium 5-1 5 pt73.jpg,eggs4countNCO1 Lithium 5-1 5 pt73.jpg,eggs2countNCO1 Lithium 5-1 5 pt73.jpg,4,2,4,3.0,1.0,1.0,1.0
NCO1 Control 5-1 9,NCO1 Control 5-1 9 pt17.jpg,eggs1countNCO1 Control 5-1 9 pt17.jpg,eggs1countNCO1 Control 5-1 9 pt17.jpg,1,1,0,1.0,0.0,0.0,1.0
CO1 Lithium 5-1 34,CO1 Lithium 5-1 34 pt83.jpg,eggs5countCO1 Lithium 5-1 34 pt83.jpg,eggs4countCO1 Lithium 5-1 34 pt83.jpg,5,4,4,4.5,0.5,0.5,0.5
ACO1 Lithium 5-1 9,ACO1 Lithium 5-1 9 pt70.jpg,eggs2countACO1 Lithium 5-1 9 pt70.jpg,eggs2countACO1 Lithium 5-1 9 pt70.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Control 5-1 18,NCO1 Control 5-1 18 pt14.jpg,eggs8countNCO1 Control 5-1 18 pt14.jpg,eggs7countNCO1 Control 5-1 18 pt14.jpg,8,7,6,7.5,0.5,0.5,1.5
CO1 Lithium 5-1 1,CO1 Lithium 5-1 1 pt46.jpg,eggs2countCO1 Lithium 5-1 1 pt46.jpg,eggs2countCO1 Lithium 5-1 1 pt46.jpg,2,2,1,2.0,0.0,0.0,1.0
NCO1 Control 5-1 35,NCO1 Control 5-1 35 pt96.jpg,eggs7countNCO1 Control 5-1 35 pt96.jpg,eggs2countNCO1 Control 5-1 35 pt96.jpg,7,2,6,4.5,2.5,2.5,1.5
AO1 Lithium 5-1 21,AO1 Lithium 5-1 21 pt15.jpg,eggs1countAO1 Lithium 5-1 21 pt15.jpg,eggs1countAO1 Lithium 5-1 21 pt15.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Control 5-1 14,CO1 Control 5-1 14 pt73.jpg,eggs1countCO1 Control 5-1 14 pt73.jpg,eggs1countCO1 Control 5-1 14 pt73.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 48,ACO1 Control 5-1 48 pt53.jpg,eggs1countACO1 Control 5-1 48 pt53.jpg,eggs1countACO1 Control 5-1 48 pt53.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 6,NCO1 Control 5-1 6 pt49.jpg,eggs1countNCO1 Control 5-1 6 pt49.jpg,eggs1countNCO1 Control 5-1 6 pt49.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 13,AO1 Control 5-1 13 pt94.jpg,eggs1countAO1 Control 5-1 13 pt94.jpg,eggs1countAO1 Control 5-1 13 pt94.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Control 5-1 31,CO1 Control 5-1 31 pt22.jpg,eggs3countCO1 Control 5-1 31 pt22.jpg,eggs2countCO1 Control 5-1 31 pt22.jpg,3,2,3,2.5,0.5,0.5,0.5
AO1 Lithium 5-1 18,AO1 Lithium 5-1 18 pt75.jpg,eggs1countAO1 Lithium 5-1 18 pt75.jpg,eggs1countAO1 Lithium 5-1 18 pt75.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 36,NCO1 Lithium 5-1 36 pt27.jpg,eggs1countNCO1 Lithium 5-1 36 pt27.jpg,eggs1countNCO1 Lithium 5-1 36 pt27.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 4,NCO1 Control 5-1 4 pt35.jpg,eggs1countNCO1 Control 5-1 4 pt35.jpg,eggs1countNCO1 Control 5-1 4 pt35.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 30,NCO1 Lithium 5-1 30 pt26.jpg,eggs2countNCO1 Lithium 5-1 30 pt26.jpg,eggs1countNCO1 Lithium 5-1 30 pt26.jpg,2,1,2,1.5,0.5,0.5,0.5
ACO1 Control 5-1 26,ACO1 Control 5-1 26 pt28.jpg,eggs1countACO1 Control 5-1 26 pt28.jpg,eggs2countACO1 Control 5-1 26 pt28.jpg,1,2,3,1.5,0.5,0.5,1.5
NCO1 Control 5-1 48,NCO1 Control 5-1 48 pt42.jpg,eggs1countNCO1 Control 5-1 48 pt42.jpg,eggs1countNCO1 Control 5-1 48 pt42.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 49,ACO1 Control 5-1 49 pt74.jpg,eggs0countACO1 Control 5-1 49 pt74.jpg,eggs1countACO1 Control 5-1 49 pt74.jpg,0,1,0,0.5,0.5,0.5,0.5
CO1 Control 5-1 45,CO1 Control 5-1 45 pt83.jpg,eggs1countCO1 Control 5-1 45 pt83.jpg,eggs1countCO1 Control 5-1 45 pt83.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 7,NCO1 Control 5-1 7 pt13.jpg,eggs4countNCO1 Control 5-1 7 pt13.jpg,eggs4countNCO1 Control 5-1 7 pt13.jpg,4,4,4,4.0,0.0,0.0,0.0
NCO1 Lithium 5-1 45,NCO1 Lithium 5-1 45 pt49.jpg,eggs2countNCO1 Lithium 5-1 45 pt49.jpg,eggs1countNCO1 Lithium 5-1 45 pt49.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Lithium 5-1 20,CO1 Lithium 5-1 20 pt63.jpg,eggs2countCO1 Lithium 5-1 20 pt63.jpg,eggs2countCO1 Lithium 5-1 20 pt63.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Control 5-1 26,CO1 Control 5-1 26 pt23.jpg,eggs1countCO1 Control 5-1 26 pt23.jpg,eggs1countCO1 Control 5-1 26 pt23.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 38,NCO1 Control 5-1 38 pt17.jpg,eggs2countNCO1 Control 5-1 38 pt17.jpg,eggs2countNCO1 Control 5-1 38 pt17.jpg,2,2,2,2.0,0.0,0.0,0.0
ACO1 Control 5-1 47,ACO1 Control 5-1 47 pt17.jpg,eggs1countACO1 Control 5-1 47 pt17.jpg,eggs1countACO1 Control 5-1 47 pt17.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 1,NCO1 Lithium 5-1 1 pt49.jpg,eggs3countNCO1 Lithium 5-1 1 pt49.jpg,eggs3countNCO1 Lithium 5-1 1 pt49.jpg,3,3,4,3.0,0.0,0.0,1.0
CO1 Lithium 5-1 17,CO1 Lithium 5-1 17 pt86.jpg,eggs6countCO1 Lithium 5-1 17 pt86.jpg,eggs4countCO1 Lithium 5-1 17 pt86.jpg,6,4,6,5.0,1.0,1.0,1.0
NCO1 Control 5-1 38,NCO1 Control 5-1 38 pt74.jpg,eggs1countNCO1 Control 5-1 38 pt74.jpg,eggs1countNCO1 Control 5-1 38 pt74.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 18,AO1 Lithium 5-1 18 pt23.jpg,eggs1countAO1 Lithium 5-1 18 pt23.jpg,eggs1countAO1 Lithium 5-1 18 pt23.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 21,ACO1 Control 5-1 21 pt68.jpg,eggs0countACO1 Control 5-1 21 pt68.jpg,eggs1countACO1 Control 5-1 21 pt68.jpg,0,1,1,0.5,0.5,0.5,0.5
CO1 Lithium 5-1 22,CO1 Lithium 5-1 22 pt65.jpg,eggs2countCO1 Lithium 5-1 22 pt65.jpg,eggs1countCO1 Lithium 5-1 22 pt65.jpg,2,1,2,1.5,0.5,0.5,0.5
AO1 Control 5-1 43,AO1 Control 5-1 43 pt24.jpg,eggs1countAO1 Control 5-1 43 pt24.jpg,eggs1countAO1 Control 5-1 43 pt24.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 25,CO1 Lithium 5-1 25 pt54.jpg,eggs2countCO1 Lithium 5-1 25 pt54.jpg,eggs1countCO1 Lithium 5-1 25 pt54.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Lithium 5-1 45,CO1 Lithium 5-1 45 pt44.jpg,eggs2countCO1 Lithium 5-1 45 pt44.jpg,eggs1countCO1 Lithium 5-1 45 pt44.jpg,2,1,2,1.5,0.5,0.5,0.5
ACO1 Control 5-1 39,ACO1 Control 5-1 39 pt60.jpg,eggs5countACO1 Control 5-1 39 pt60.jpg,eggs2countACO1 Control 5-1 39 pt60.jpg,5,2,4,3.5,1.5,1.5,0.5
CO1 Lithium 5-1 19,CO1 Lithium 5-1 19 pt65.jpg,eggs4countCO1 Lithium 5-1 19 pt65.jpg,eggs3countCO1 Lithium 5-1 19 pt65.jpg,4,3,4,3.5,0.5,0.5,0.5
AO1 Control 5-1 34,AO1 Control 5-1 34 pt57.jpg,eggs2countAO1 Control 5-1 34 pt57.jpg,eggs2countAO1 Control 5-1 34 pt57.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 11,NCO1 Lithium 5-1 11 pt38.jpg,eggs1countNCO1 Lithium 5-1 11 pt38.jpg,eggs1countNCO1 Lithium 5-1 11 pt38.jpg,1,1,0,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 13,NCO1 Lithium 5-1 13 pt49.jpg,eggs6countNCO1 Lithium 5-1 13 pt49.jpg,eggs5countNCO1 Lithium 5-1 13 pt49.jpg,6,5,6,5.5,0.5,0.5,0.5
CO1 Lithium 5-1 30,CO1 Lithium 5-1 30 pt38.jpg,eggs2countCO1 Lithium 5-1 30 pt38.jpg,eggs2countCO1 Lithium 5-1 30 pt38.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Control 5-1 38,CO1 Control 5-1 38 pt84.jpg,eggs4countCO1 Control 5-1 38 pt84.jpg,eggs3countCO1 Control 5-1 38 pt84.jpg,4,3,2,3.5,0.5,0.5,1.5
ACO1 Control 5-1 6,ACO1 Control 5-1 6 pt43.jpg,eggs1countACO1 Control 5-1 6 pt43.jpg,eggs1countACO1 Control 5-1 6 pt43.jpg,1,1,1,1.0,0.0,0.0,0.0
